ticket_id,customer_id,ticket_created_at,ticket_channel,ticket_type,ticket_subject,ticket_description,ticket_priority,ticket_status,assigned_agent,first_response_time_minutes,resolution_time_hours,escalated,customer_satisfaction_rating,final_resolution
TICK-000001,CUST-00413,2026-02-11 00:48:00,Chat,Product Damage,Running Shoes arrived broken,The box was smashed and the item is damaged.,Critical,Open,Pat,4,,TRUE,,
TICK-000002,CUST-00544,2025-06-02 17:34:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Jamie,13,14.5,TRUE,3,Voided duplicate authorization hold.
TICK-000003,CUST-00153,2025-06-18 22:44:00,Chat,Product Damage,Gaming Mouse arrived broken,The box was smashed and the item is damaged.,Critical,Resolved,Sam,14,2.1,TRUE,3,Sent overnight replacement.
TICK-000004,CUST-00082,2025-09-09 10:42:00,Phone,Account Issue,Can't log in,Password reset not sending.,Medium,Open,Jamie,3,,FALSE,,
TICK-000005,CUST-00310,2025-07-09 23:27:00,Chat,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,High,Resolved,Jordan,10,13.8,FALSE,4,"Escalated to carrier, offered $10 credit."
TICK-000006,CUST-00977,2026-03-07 09:15:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Taylor,3,28.4,FALSE,5,Sent manual reset link via SMS.
TICK-000007,CUST-00540,2025-07-17 05:36:00,Email,Delivery Delay,Package is late,My Mechanical Keyboard was supposed to be here 2 days ago.,High,Pending,Casey,101,,TRUE,,
TICK-000008,CUST-00726,2026-01-22 19:19:00,Chat,Account Issue & Wrong Product,Got the wrong item,"I didn't order this, I ordered a Laptop Stand.",Medium,Resolved,Sam,6,40.5,FALSE,3,Issued return label and shipped correct item.
TICK-000009,CUST-00553,2025-12-10 04:31:00,Chat,Account Issue,Can't log in,Password reset not sending.,Low,Resolved,Alex,15,21.8,FALSE,5,Sent manual reset link via SMS.
TICK-000010,CUST-00867,2025-05-27 14:39:00,Phone,Wrong Product,Got the wrong item,"I didn't order this, I ordered a Running Shoes.",Medium,Resolved,Casey,8,47.3,FALSE,4,Issued return label and shipped correct item.
TICK-000011,CUST-00831,2026-03-19 14:42:00,Chat,Refund Request,AGAIN: Need refund for Running Shoes,I returned this last week and want my money back.,High,Escalated,Riley,15,,TRUE,,
TICK-000012,CUST-00311,2026-05-07 22:55:00,Chat,Delivery Delay,Package is late,My Electric Toothbrush was supposed to be here 2 days ago.,High,Resolved,Morgan,1,18.8,FALSE,3,"Escalated to carrier, offered $10 credit."
TICK-000013,CUST-00840,2026-01-03 15:54:00,Email,Payment Issue,Charged twice!,My card was declined but I see a charge.,Medium,Resolved,Riley,90,62.0,FALSE,1,Voided duplicate authorization hold.
TICK-000014,CUST-00574,2025-07-12 03:02:00,Chat,Delivery Delay,Package is late,My Yoga Mat was supposed to be here 2 days ago.,High,Escalated,Taylor,2,,TRUE,,
TICK-000015,CUST-00366,2025-07-02 03:17:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Escalated,Taylor,11,,TRUE,,
TICK-000016,CUST-00605,2025-08-08 08:34:00,Chat,Delivery Delay,Package is late,My Wireless Earbuds was supposed to be here 2 days ago.,High,Resolved,Morgan,10,2.8,FALSE,5,"Escalated to carrier, offered $10 credit."
TICK-000017,CUST-00441,2025-12-10 17:09:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Resolved,Pat,151,69.1,FALSE,1,Addressed multiple queries.
TICK-000018,CUST-00882,2026-04-29 03:56:00,Social Media,Product Damage,Wireless Earbuds arrived broken,The box was smashed and the item is damaged.,Critical,Escalated,Alex,93,,TRUE,,
TICK-000019,CUST-00729,2025-07-16 11:05:00,Chat,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Resolved,Chris,9,21.9,TRUE,5,Voided duplicate authorization hold.
TICK-000020,CUST-00401,2025-07-12 16:46:00,Chat,Payment Issue & Product Damage,Charged twice!,My card was declined but I see a charge.,High,Resolved,Pat,13,23.9,TRUE,2,Voided duplicate authorization hold.
TICK-000021,CUST-00825,2025-10-02 10:53:00,Email,Delivery Delay,Package is late,My Running Shoes was supposed to be here 2 days ago.,Medium,Open,Pat,197,,FALSE,,
TICK-000022,CUST-00365,2025-12-14 15:04:00,Email,General Inquiry,Help with my order,I have a few problems with my recent purchase.,Low,Resolved,Riley,295,51.3,FALSE,3,Addressed multiple queries.
TICK-000023,CUST-00937,2025-07-17 05:13:00,Phone,Order Tracking,Where is my Gaming Mouse?,I ordered a Gaming Mouse and the tracking hasn't updated.,Low,Resolved,Jordan,11,34.4,FALSE,4,Provided updated tracking link.
TICK-000024,CUST-00789,2026-02-02 21:34:00,Email,Refund Request,Need refund for Mechanical Keyboard,I returned this last week and want my money back.,Medium,Resolved,Morgan,205,66.5,FALSE,3,Refund processed to original payment method.
TICK-000025,CUST-00603,2025-08-16 19:17:00,Chat,Order Tracking,Where is my Running Shoes?,I ordered a Running Shoes and the tracking hasn't updated.,Low,Pending,Alex,12,,FALSE,,
TICK-000026,CUST-00461,2025-08-26 02:19:00,Email,Order Tracking,Where is my Smart TV?,I ordered a Smart TV and the tracking hasn't updated.,Low,Resolved,Jordan,201,28.5,FALSE,4,Provided updated tracking link.
TICK-000027,CUST-00438,2025-06-08 04:13:00,Email,Refund Request,Need refund for Electric Toothbrush,I returned this last week and want my money back.,Medium,Resolved,Morgan,167,63.4,FALSE,3,Refund processed to original payment method.
TICK-000028,CUST-00563,2025-08-13 12:11:00,Social Media,Payment Issue,Charged twice!,My card was declined but I see a charge.,High,Open,Morgan,158,,FALSE,,
TICK-000029,CUST-00857,2025-12-31 06:28:00,Phone,Order Tracking,Where is my Laptop Stand?,I ordered a Laptop Stand and the tracking hasn't updated.,Low,Resolved,Taylor,7,7.2,FALSE,3,Provided updated tracking link.
TICK-000030,CUST-00005,2026-02-25 02:14:00,Social Media,Refund Request,Need refund for Mechanical Keyboard,I returned this last week and want my money back.,High,Open,Chris,210,,FALSE,,
TICK-000031,CUST-00834,2025-09-14 17:54:00,Chat,Delivery Delay,Package is late,My Mechanical Keyboard was supposed to be here 2 days ago.,Medium,Resolved,Morgan,2,71.6,FALSE,2,"Escalated to carrier, offered $10 credit."
TICK-000032,CUST-00866,2025-05-23 15:22:00,Chat,Delivery Delay,Package is late,My Blender was supposed to be here 2 days ago.,High,Resolved,Jamie,14,3.1,FALSE,1,"Escalated to carrier, offered $10 credit."
TICK-000033,CUST-00383,2026-04-18 20:47:00,Email,Refund Request & Product Damage,Need refund for Smart TV,I returned this last week and want my money back.,Medium,Resolved,Jamie,205,38.8,FALSE,3,Refund processed to original payment method.
TICK-000034,CUST-00168,2026-05-04 11:33:00,Phone,Product Damage,Coffee Machine arrived broken,The box was smashed and the item is damaged.,High,Resolved,Casey,15,4.3,FALSE,5,Sent overnight replacement.
